name,description,website
Afghan Relief,"Help people in Afghanistan rebuild their communities, from basic health care, education, and other essential services.",http://www.networkforgood.org/topics/international/afghanrefugees/
African Development,"What you can do to empower Africa to end poverty, fight AIDS, and bolster economic growth.",http://www.networkforgood.org/topics/international/africa/
Crisis in Sudan,Help bring vital relief supplies to those who suffering.,http://www.networkforgood.org/topics/international/sudan/
East Timor,Learn more about the world's newest nation and the humanitarian and relief issues it now faces.,http://www.networkforgood.org/topics/international/timor/
Famine,Niger faces an acute food shortage in West Africa. Help today.,http://www.networkforgood.org/topics/international/famine/
Human Rights,Use your right to make a difference to help those who can't.,http://www.networkforgood.org/topics/international/human_rights/
International Peace,Help make the dream of peace on earth a reality.,http://www.networkforgood.org/topics/international/peace/
International Relief,"Provide relief around the world to those suffer from natural disasters, war and famine.",http://www.networkforgood.org/topics/international/relief/
Iraq: Humanitarian Relief,"Help provide food, clean water, and emergency supplies to Iraq.",http://www.networkforgood.org/topics/international/iraq/
Iraq: Support U.S. Troops,Show your support for troops in the Middle East.,http://www.networkforgood.org/topics/international/iraq/troops.aspx
Landmines,Help save lives through landmine awareness.,http://www.networkforgood.org/topics/international/landmines/
Pandemic: Facing AIDS,Help stop the spread of HIV/AIDS and improve the quality of care for those already infected.,http://www.networkforgood.org/topics/health/pandemic/
Tolerance & Diversity,Join the struggle for international religious tolerance and cultural diversity.,http://www.networkforgood.org/topics/religion/tolerance_diversity/
Tsunami Recovery,Help organizations dedicated to rebuilding the areas affected.,http://www.networkforgood.org/topics/international/earthquake/tsunami122604.aspx
World Population,"Learn more about the effects of population growth, and what you can do to avert crises around the world.",http://www.networkforgood.org/topics/humanserv/population
